TEAM,Ticket Sales,BMK,UNI,CCH,STX,SMK,AFF,SLP,NYP,FRL,BNG,TRD,BWG,FUT,PLA,OWN,BEH
Dallas Cowboys,950,90,84,42,77,10,16,65,26,45,77,87,32,29,61,52,29
New England Patriots,600,68,68,100,68,32,26,23,90,90,84,81,0,87,94,65,77
New York Giants,519,100,65,77,42,0,13,29,100,48,23,97,58,39,48,84,10
Houston Texans,497,87,32,55,71,13,48,52,23,81,35,0,39,61,74,68,95
Washington Redskins,493,84,26,3,10,16,0,48,84,0,6,74,84,55,3,16,3
San Francisco 49ers,492,48,61,0,39,52,10,3,3,3,65,84,3,10,26,6,95
Philadelphia Eagles,482,81,77,71,52,19,29,35,94,52,26,55,55,45,55,39,95
New York Jets,475,71,58,23,23,29,3,29,100,16,10,19,68,52,13,23,16
Atlanta Falcons,458,74,13,48,48,26,61,74,55,58,55,10,35,48,42,58,56
Green Bay Packers,456,0,94,81,100,100,94,84,52,100,81,100,6,77,97,100,69
Chicago Bears,453,94,90,26,16,6,6,90,58,13,19,94,48,19,0,26,56
Denver Broncos,446,42,23,45,65,58,45,39,19,61,97,68,10,97,68,81,0
Miami Dolphins,443,77,48,6,29,23,35,19,32,29,71,58,65,32,16,32,95
New Orleans Saints,441,6,45,87,74,94,87,58,29,87,45,16,16,23,65,61,84
Seattle Seahawks,439,58,35,95,90,42,23,6,13,97,100,35,26,100,100,94,29
Pittsburgh Steelers,439,32,100,65,58,68,74,68,77,84,42,90,29,81,84,97,69
Baltimore Ravens,438,39,29,90,81,61,81,45,87,68,74,26,19,42,90,90,6
Minnesota Vikings,427,55,52,74,35,45,52,77,39,39,29,52,81,74,52,45,44
Jacksonville Jaguars,424,13,0,61,94,87,100,42,45,65,3,3,100,6,45,55,29
Carolina Panthers,424,35,16,52,61,65,84,61,68,74,90,6,52,90,77,74,44
Kansas City Chiefs,410,26,71,84,84,74,71,97,35,71,48,45,77,94,71,87,44
Los Angeles Rams,401,97,42,39,6,3,55,10,6,6,39,61,90,65,29,0,56
Arizona Cardinals,400,65,6,95,87,35,90,16,16,77,68,29,42,84,81,71,56
Tampa Bay Buccaneers,400,45,10,29,55,55,68,32,42,35,13,13,97,13,23,35,44
Cleveland Browns,399,23,39,16,26,77,42,71,74,10,32,77,87,3,10,10,16
Tennessee Titans,394,16,55,10,13,84,32,94,48,19,16,32,71,0,6,13,29
Indianapolis Colts,393,19,74,68,97,81,77,100,61,94,94,71,23,26,87,48,16
Buffalo Bills,386,3,81,58,32,97,97,55,81,55,61,48,74,68,58,77,69
Detroit Lions,385,61,19,35,45,39,39,81,71,32,58,42,61,58,35,42,84
Cincinnati Bengals,380,29,3,13,19,71,58,87,65,26,87,23,13,71,32,29,29
San Diego Chargers,375,52,87,19,0,48,19,13,10,23,52,39,45,16,39,3,84
Oakland Raiders,357,10,97,32,3,90,65,0,0,42,0,65,94,35,19,19,69
